OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
27-2031,Dancers,,14880
27-2032,Choreographers,,15360
27-2041,Music directors and composers,,8870
27-2042,Musicians and singers,,52000
27-2099,"Entertainers and performers, sports and related workers, all other",,54800
27-3011,Radio and television announcers,,41430
27-3012,Public address system and other announcers,,8180
27-3021,Broadcast news analysts,,6930
27-3022,Reporters and correspondents,,52550
27-3031,Public relations specialists,,166210
27-3041,Editors,,100790
27-3042,Technical writers,,45100
27-3043,Writers and authors,,42780
27-3091,Interpreters and translators,,25410
27-3099,"Media and communication workers, all other",,27380
27-4011,Audio and video equipment technicians,,40050
27-4012,Broadcast technicians,,29940
27-4013,Radio operators,,1670
27-4014,Sound engineering technicians,,11650
27-4021,Photographers,,54400
27-4031,"Camera operators, television, video, and motion picture",,21600
27-4032,Film and video editors,,15800
27-4099,"Media and communication equipment workers, all other",,18570
29-0000,Healthcare practitioners and technical occupations,major,6359380
29-1011,Chiropractors,,21830
29-1021,"Dentists, general",,84240
29-1022,Oral and maxillofacial surgeons,,4950
29-1023,Orthodontists,,6190
29-1024,Prosthodontists,,730
29-1029,"Dentists, all other specialists",,2710
29-1031,Dietitians and nutritionists,,46530
29-1041,Optometrists,,22780
29-1051,Pharmacists,,222960
29-1061,Anesthesiologists,,25130
29-1062,Family and general practitioners,,106750
29-1063,"Internists, general",,51180
29-1064,Obstetricians and gynecologists,,20850
29-1065,"Pediatricians, general",,26520
29-1066,Psychiatrists,,22440
29-1067,Surgeons,,55800
29-1069,"Physicians and surgeons, all other",,162720
29-1071,Physician assistants,,59470
29-1081,Podiatrists,,7550
29-1111,Registered nurses,,2311970
29-1121,Audiologists,,9810
29-1122,Occupational therapists,,83560
29-1123,Physical therapists,,142940
29-1124,Radiation therapists,,14470
29-1125,Recreational therapists,,23050
29-1126,Respiratory therapists,,91350
29-1127,Speech-language pathologists,,89260
29-1129,"Therapists, all other",,8090
29-1131,Veterinarians,,46090
29-1199,"Health diagnosing and treating practitioners, all other",,56920
29-2011,Medical and clinical laboratory technologists,,151240
29-2012,Medical and clinical laboratory technicians,,141720
29-2021,Dental hygienists,,155810
29-2031,Cardiovascular technologists and technicians,,43540
29-2032,Diagnostic medical sonographers,,41280
29-2033,Nuclear medicine technologists,,17520
29-2034,Radiologic technologists and technicians,,177220
29-2041,Emergency medical technicians and paramedics,,187900
29-2051,Dietetic technicians,,24630
29-2052,Pharmacy technicians,,255290
29-2053,Psychiatric technicians,,59010
29-2054,Respiratory therapy technicians,,24190
29-2055,Surgical technologists,,82280
29-2056,Veterinary technologists and technicians,,58570
29-2061,Licensed practical and licensed vocational nurses,,702740
29-2071,Medical records and health information technicians,,155030
29-2081,"Opticians, dispensing",,62350
29-2091,Orthotists and prosthetists,,4930
29-2099,"Health technologists and technicians, all other",,72390
29-9011,Occupational health and safety specialists,,36360
29-9012,Occupational health and safety technicians,,11190
29-9091,Athletic trainers,,13100
29-9099,"Healthcare practitioners and technical workers, all other",,52240
31-0000,Healthcare support occupations,major,3271350
31-1011,Home health aides,,596330
31-1012,"Nursing aides, orderlies, and attendants",,1384120
31-1013,Psychiatric aides,,54520
31-2011,Occupational therapist assistants,,20880
31-2012,Occupational therapist aides,,5240
31-2021,Physical therapist assistants,,57420
31-2022,Physical therapist aides,,41910
31-9011,Massage therapists,,32200
31-9091,Dental assistants,,264820
31-9092,Medical assistants,,380340
31-9093,Medical equipment preparers,,40380
31-9094,Medical transcriptionists,,92740
31-9095,Pharmacy aides,,47720
31-9096,Veterinary assistants and laboratory animal caretakers,,70200
31-9099,"Healthcare support workers, all other",,182550
33-0000,Protective service occupations,major,3006100
33-1011,First-line supervisors/managers of correctional officers,,35880
33-1012,First-line supervisors/managers of police and detectives,,96080
33-1021,First-line supervisors/managers of fire fighting and prevention workers,,54170
33-1099,"First-line supervisors/managers, protective service workers, all other",,47280
33-2011,Fire fighters,,273630
33-2021,Fire inspectors and investigators,,12500
33-2022,Forest fire inspectors and prevention specialists,,1580
33-3011,Bailiffs,,17270
33-3012,Correctional officers and jailers,,409580
33-3021,Detectives and criminal investigators,,86880
33-3031,Fish and game wardens,,7050
33-3041,Parking enforcement workers,,9990
33-3051,Police and sheriff's patrol officers,,616340
33-3052,Transit and railroad police,,4610
33-9011,Animal control workers,,13780
33-9021,Private detectives and investigators,,31220
33-9031,Gaming surveillance officers and gaming investigators,,8560
33-9032,Security guards,,978570
33-9091,Crossing guards,,70180
33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",,108210
33-9099,"Protective service workers, all other",,122740
35-0000,Food preparation and serving related occupations,major,10507390
35-1011,Chefs and head cooks,,116930
35-1012,First-line supervisors/managers of food preparation and serving workers,,733680
35-2011,"Cooks, fast food",,652500
35-2012,"Cooks, institution and cafeteria",,401110
35-2013,"Cooks, private household",,650
35-2014,"Cooks, restaurant",,765670
35-2015,"Cooks, short order",,225740
35-2019,"Cooks, all other",,10780
35-2021,Food preparation workers,,863700
35-3011,Bartenders,,463000
35-3021,"Combined food preparation and serving workers, including fast food",,2140740
35-3022,"Counter attendants, cafeteria, food concession, and coffee shop",,458610
35-3031,Waiters and waitresses,,2219850
35-3041,"Food servers, nonrestaurant",,186770
35-9011,Dining room and cafeteria attendants and bartender helpers,,390980
35-9021,Dishwashers,,497650
35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop",,316400
35-9099,"Food preparation and serving related workers, all other",,62620
37-0000,Building and grounds cleaning and maintenance occupations,major,4300440
37-1011,First-line supervisors/managers of housekeeping and janitorial workers,,199990
37-1012,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",,102380
37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",,2103490
37-2012,Maids and housekeeping cleaners,,880150
37-2019,"Building cleaning workers, all other",,13580
37-2021,Pest control workers,,59080
37-3011,Landscaping and groundskeeping workers,,860200
37-3012,"Pesticide handlers, sprayers, and applicators, vegetation",,24200
37-3013,Tree trimmers and pruners,,39600
37-3019,"Grounds maintenance workers, all other",,17760
39-0000,Personal care and service occupations,major,3099550
39-1011,Gaming supervisors,,25040
39-1012,Slot key persons,,16210
39-1021,First-line supervisors/managers of personal service workers,,121250
39-2011,Animal trainers,,8060
39-2021,Nonfarm animal caretakers,,81110
39-3011,Gaming dealers,,82560
39-3012,Gaming and sports book writers and runners,,18290
39-3019,"Gaming service workers, all other",,14860
39-3021,Motion picture projectionists,,10290
39-3031,"Ushers, lobby attendants, and ticket takers",,110420
39-3091,Amusement and recreation attendants,,241110
39-3092,Costume attendants,,3460
39-3093,"Locker room, coatroom, and dressing room attendants",,24320
39-3099,"Entertainment attendants and related workers, all other",,37080
39-4011,Embalmers,,8660
39-4021,Funeral attendants,,29660
39-5011,Barbers,,15830
39-5012,"Hairdressers, hairstylists, and cosmetologists",,331260
39-5091,"Makeup artists, theatrical and performance",,1060
39-5092,Manicurists and pedicurists,,38030
39-5093,Shampooers,,16180
39-5094,Skin care specialists,,19650
39-6011,Baggage porters and bellhops,,55910
39-6012,Concierges,,17310
39-6021,Tour guides and escorts,,28660
39-6022,Travel guides,,4140
39-6031,Flight attendants,,101980
39-6032,"Transportation attendants, except flight attendants and baggage porters",,27730
39-9011,Child care workers,,513110
39-9021,Personal and home care aides,,532490
39-9031,Fitness trainers and aerobics instructors,,182280
39-9032,Recreation workers,,266520
39-9041,Residential advisors,,49960
39-9099,"Personal care and service workers, all other",,65070
41-0000,Sales and related occupations,major,13507840
41-1011,First-line supervisors/managers of retail sales workers,,1087830
41-1012,First-line supervisors/managers of non-retail sales workers,,307610
41-2011,Cashiers,,3438070
41-2012,Gaming change persons and booth cashiers,,28830
41-2021,Counter and rental clerks,,444850
41-2022,Parts salespersons,,236710
41-2031,Retail salespersons,,4130470
41-3011,Advertising sales agents,,144690
41-3021,Insurance sales agents,,285390
41-3031,"Securities, commodities, and financial services sales agents",,240500
41-3041,Travel agents,,90500
