,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
286,19-4061,Social Science Research Assistants,detailed,"28,060"
287,19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,"150,140"
288,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,"34,250"
289,19-4092,Forensic Science Technicians,detailed,"14,070"
290,19-4093,Forest and Conservation Technicians,detailed,"29,810"
291,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,"72,020"
292,21-0000,Community and Social Service Occupations,major,"1,972,140"
293,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,"1,895,770"
294,21-1010,Counselors,broad,"628,820"
295,21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,"87,090"
296,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"253,460"
297,21-1013,Marriage and Family Therapists,detailed,"32,070"
298,21-1014,Mental Health Counselors,detailed,"128,200"
299,21-1015,Rehabilitation Counselors,detailed,"101,630"
300,21-1019,"Counselors, All Other",detailed,"26,370"
301,21-1020,Social Workers,broad,"619,300"
302,21-1021,"Child, Family, and School Social Workers",detailed,"294,080"
303,21-1022,Healthcare Social Workers,detailed,"155,590"
304,21-1023,Mental Health and Substance Abuse Social Workers,detailed,"110,070"
305,21-1029,"Social Workers, All Other",detailed,"59,570"
306,21-1090,Miscellaneous Community and Social Service Specialists,broad,"647,650"
307,21-1091,Health Educators,detailed,"57,570"
308,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,"87,950"
309,21-1093,Social and Human Service Assistants,detailed,"359,350"
310,21-1094,Community Health Workers,detailed,"48,130"
311,21-1099,"Community and Social Service Specialists, All Other",detailed,"94,670"
312,21-2000,Religious Workers,minor,"76,370"
313,21-2010,Clergy,broad,"48,250"
314,21-2011,Clergy,detailed,"48,250"
315,21-2020,"Directors, Religious Activities and Education",broad,"20,280"
316,21-2021,"Directors, Religious Activities and Education",detailed,"20,280"
317,21-2090,Miscellaneous Religious Workers,broad,"7,840"
318,21-2099,"Religious Workers, All Other",detailed,"7,840"
319,23-0000,Legal Occupations,major,"1,062,370"
320,23-1000,"Lawyers, Judges, and Related Workers",minor,"672,580"
321,23-1010,Lawyers and Judicial Law Clerks,broad,"622,590"
322,23-1011,Lawyers,detailed,"609,930"
323,23-1012,Judicial Law Clerks,detailed,"12,660"
324,23-1020,"Judges, Magistrates, and Other Judicial Workers",broad,"49,990"
325,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,"14,590"
326,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,"6,380"
327,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,"29,020"
328,23-2000,Legal Support Workers,minor,"389,790"
329,23-2010,Paralegals and Legal Assistants,broad,"271,930"
330,23-2011,Paralegals and Legal Assistants,detailed,"271,930"
331,23-2090,Miscellaneous Legal Support Workers,broad,"117,850"
332,23-2091,Court Reporters,detailed,"17,670"
333,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,"54,620"
334,23-2099,"Legal Support Workers, All Other",detailed,"45,570"
335,25-0000,"Education, Training, and Library Occupations",major,"8,542,670"
336,25-1000,Postsecondary Teachers,minor,"1,531,350"
337,25-1010,"Business Teachers, Postsecondary",broad,"84,890"
338,25-1011,"Business Teachers, Postsecondary",detailed,"84,890"
339,25-1020,"Math and Computer Teachers, Postsecondary",broad,"87,610"
340,25-1021,"Computer Science Teachers, Postsecondary",detailed,"33,760"
