ID,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
376,25-1190,Miscellaneous Postsecondary Teachers,broad,"444,210"
377,25-1191,Graduate Teaching Assistants,detailed,"131,490"
378,25-1192,"Home Economics Teachers, Postsecondary",detailed,"2,080"
379,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,"16,490"
380,25-1194,"Vocational Education Teachers, Postsecondary",detailed,"110,400"
381,25-1199,"Postsecondary Teachers, All Other",detailed,"183,750"
382,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",minor,"4,193,290"
383,25-2010,Preschool and Kindergarten Teachers,broad,"555,680"
384,25-2011,"Preschool Teachers, Except Special Education",detailed,"424,520"
385,25-2012,"Kindergarten Teachers, Except Special Education",detailed,"131,160"
386,25-2020,Elementary and Middle School Teachers,broad,"2,032,880"
387,25-2021,"Elementary School Teachers, Except Special Education",detailed,"1,410,970"
388,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"609,970"
389,25-2023,"Career/Technical Education Teachers, Middle School",detailed,"11,940"
390,25-2030,Secondary School Teachers,broad,"1,129,040"
391,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"1,051,570"
392,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,"77,460"
393,25-2050,Special Education Teachers,broad,"475,700"
394,25-2051,"Special Education Teachers, Preschool",detailed,"23,480"
395,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"185,190"
396,25-2053,"Special Education Teachers, Middle School",detailed,"87,870"
397,25-2054,"Special Education Teachers, Secondary School",detailed,"142,360"
398,25-2059,"Special Education Teachers, All Other",detailed,"36,800"
399,25-3000,Other Teachers and Instructors,minor,"1,203,570"
400,25-3010,Adult Basic and Secondary Education and Literacy Teachers and Instructors,broad,"57,750"
401,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,"57,750"
402,25-3020,Self-Enrichment Education Teachers,broad,"243,080"
403,25-3021,Self-Enrichment Education Teachers,detailed,"243,080"
404,25-3090,Miscellaneous Teachers and Instructors,broad,"902,740"
405,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"315,510"
406,25-3098,Substitute Teachers,detailed,"587,240"
407,25-4000,"Librarians, Curators, and Archivists",minor,"246,200"
408,25-4010,"Archivists, Curators, and Museum Technicians",broad,"31,760"
409,25-4011,Archivists,detailed,"6,370"
410,25-4012,Curators,detailed,"12,280"
411,25-4013,Museum Technicians and Conservators,detailed,"13,100"
412,25-4020,Librarians,broad,"125,750"
413,25-4021,Librarians,detailed,"125,750"
414,25-4030,Library Technicians,broad,"88,690"
415,25-4031,Library Technicians,detailed,"88,690"
416,25-9000,"Other Education, Training, and Library Occupations",minor,"1,619,610"
417,25-9010,Audio-Visual and Multimedia Collections Specialists,broad,"9,540"
418,25-9011,Audio-Visual and Multimedia Collections Specialists,detailed,"9,540"
419,25-9020,Farm and Home Management Advisors,broad,"8,020"
420,25-9021,Farm and Home Management Advisors,detailed,"8,020"
421,25-9030,Instructional Coordinators,broad,"163,900"
422,25-9031,Instructional Coordinators,detailed,"163,900"
423,25-9040,Teacher Assistants,broad,"1,331,560"
424,25-9041,Teacher Assistants,detailed,"1,331,560"
425,25-9090,"Miscellaneous Education, Training, and Library Workers",broad,"106,590"
426,25-9099,"Education, Training, and Library Workers, All Other",detailed,"106,590"
427,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"1,951,170"
428,27-1000,Art and Design Workers,minor,"610,180"
429,27-1010,Artists and Related Workers,broad,"90,990"
430,27-1011,Art Directors,detailed,"40,210"
431,27-1012,Craft Artists,detailed,"3,980"
432,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,"11,620"
433,27-1014,Multimedia Artists and Animators,detailed,"28,560"
434,27-1019,"Artists and Related Workers, All Other",detailed,"6,620"
435,27-1020,Designers,broad,"519,180"
436,27-1021,Commercial and Industrial Designers,detailed,"33,200"
437,27-1022,Fashion Designers,detailed,"19,750"
438,27-1023,Floral Designers,detailed,"43,360"
439,27-1024,Graphic Designers,detailed,"217,810"
440,27-1025,Interior Designers,detailed,"57,070"
441,27-1026,Merchandise Displayers and Window Trimmers,detailed,"128,960"
442,27-1027,Set and Exhibit Designers,detailed,"10,590"
443,27-1029,"Designers, All Other",detailed,"8,450"
444,27-2000,"Entertainers and Performers, Sports and Related Workers",minor,"515,310"
445,27-2010,"Actors, Producers, and Directors",broad,"166,060"
446,27-2011,Actors,detailed,"47,430"
447,27-2012,Producers and Directors,detailed,"118,630"
448,27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,"266,860"
449,27-2021,Athletes and Sports Competitors,detailed,"10,800"
450,27-2022,Coaches and Scouts,detailed,"236,970"
451,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,"19,090"
452,27-2030,Dancers and Choreographers,broad,"14,810"
453,27-2031,Dancers,detailed,"9,720"
454,27-2032,Choreographers,detailed,"5,090"
455,27-2040,"Musicians, Singers, and Related Workers",broad,"53,840"
456,27-2041,Music Directors and Composers,detailed,"12,160"
457,27-2042,Musicians and Singers,detailed,"41,680"
458,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad,"13,740"
459,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,"13,740"
